timestamp,pnl,equity,expected_pnl,implementation_shortfall,symbol,side,quantity,notional,hit_rate,feature_drift_score,gross_exposure,net_exposure,leverage,concentration,position_size,fill_rate,reject_rate,latency_ms,fees,broker_position_mismatch,api_error_rate,api_disconnects,restart_count,strategy_version,parameter_hash
2025-08-15T15:30:00,644.41,319186.64,892.16,247.75,AAPL,sell,500,49189.95,0.58,0.04,820000,190000,1.15,0.17,100000,0.992,0.003,13,86,0,0.001,0,0,v1.4.0,c8a1
2025-08-15T15:35:00,1192.7,320379.33,897.14,-295.55,MSFT,buy,280,27563.48,0.578,0.05,820600,190000,1.15,0.17,100000,0.991,0.003,14,87,0,0.001,0,0,v1.4.0,c8a1
2025-08-15T15:40:00,1108.73,321488.07,885.64,-223.1,NVDA,buy,190,18721.8,0.575,0.06,821200,190000,1.15,0.17,100000,0.99,0.003,15,88,0,0.001,0,0,v1.4.0,c8a1
2025-08-15T15:45:00,1137.85,322625.91,885.47,-252.38,JPM,sell,340,33473.75,0.573,0.07,821800,190000,1.15,0.17,100000,0.989,0.003,16,89,0,0.001,0,0,v1.4.0,c8a1
2025-08-15T15:50:00,610.88,323236.79,884.77,273.89,XOM,buy,160,15771.78,0.57,0.08,822400,190000,1.15,0.17,100000,0.988,0.003,17,90,0,0.001,0,0,v1.4.0,c8a1
2025-08-15T15:55:00,1054.43,324291.22,904.69,-149.74,AAPL,buy,500,49358.0,0.568,0.09,823000,190000,1.15,0.17,100000,0.987,0.003,13,91,0,0.001,0,0,v1.4.0,c8a1
2025-08-15T16:00:00,1137.79,325429.01,891.38,-246.41,MSFT,sell,280,27699.11,0.565,0.1,823600,190000,1.15,0.17,100000,0.986,0.003,14,92,0,0.001,0,0,v1.4.0,c8a1
2025-08-15T16:05:00,937.38,326366.39,900.29,-37.08,NVDA,buy,190,18801.75,0.58,0.04,824200,190000,1.15,0.17,100000,0.992,0.003,15,93,0,0.001,0,0,v1.4.0,c8a1
2025-08-15T16:10:00,915.08,327281.47,903.63,-11.45,JPM,buy,340,33615.66,0.578,0.05,824800,190000,1.15,0.17,100000,0.991,0.003,16,86,0,0.001,0,0,v1.4.0,c8a1
2025-08-15T16:15:00,764.06,328045.53,896.94,132.87,XOM,sell,160,15815.02,0.575,0.06,825400,190000,1.15,0.17,100000,0.99,0.003,17,87,0,0.001,0,0,v1.4.0,c8a1
2025-08-15T16:20:00,1056.27,329101.8,902.13,-154.14,AAPL,buy,500,49507.55,0.573,0.07,826000,190000,1.15,0.17,100000,0.989,0.003,13,88,0,0.001,0,0,v1.4.0,c8a1
2025-08-15T16:25:00,842.96,329944.76,888.57,45.61,MSFT,buy,280,27783.34,0.57,0.08,826600,190000,1.15,0.17,100000,0.988,0.003,14,89,0,0.001,0,0,v1.4.0,c8a1
2025-08-15T16:30:00,1135.32,331080.08,896.75,-238.57,NVDA,sell,190,18841.35,0.568,0.09,827200,190000,1.15,0.17,100000,0.987,0.003,15,90,0,0.001,0,0,v1.4.0,c8a1
2025-08-15T16:35:00,1357.69,332437.77,896.61,-461.08,JPM,buy,340,33754.21,0.565,0.1,827800,190000,1.15,0.17,100000,0.986,0.003,16,91,0,0.001,0,0,v1.4.0,c8a1
2025-08-15T16:40:00,1131.84,333569.62,889.43,-242.41,XOM,buy,160,15905.14,0.58,0.04,828400,190000,1.15,0.17,100000,0.992,0.003,17,92,0,0.001,0,0,v1.4.0,c8a1
2025-08-15T16:45:00,1065.64,334635.26,872.29,-193.35,AAPL,sell,500,49690.9,0.578,0.05,829000,190000,1.15,0.17,100000,0.991,0.003,13,93,0,0.001,0,0,v1.4.0,c8a1
2025-08-15T16:50:00,872.55,335507.81,867.8,-4.75,MSFT,buy,280,27832.78,0.575,0.06,829600,190000,1.15,0.17,100000,0.99,0.003,14,86,0,0.001,0,0,v1.4.0,c8a1
2025-08-15T16:55:00,899.62,336407.43,894.97,-4.65,NVDA,buy,190,18870.02,0.573,0.07,830200,190000,1.15,0.17,100000,0.989,0.003,15,87,0,0.001,0,0,v1.4.0,c8a1
2025-08-15T17:00:00,1197.28,337604.71,888.86,-308.42,JPM,sell,340,33774.1,0.57,0.08,830800,190000,1.15,0.17,100000,0.988,0.003,16,88,0,0.001,0,0,v1.4.0,c8a1
2025-08-15T17:05:00,969.25,338573.96,874.79,-94.46,XOM,buy,160,15878.85,0.568,0.09,831400,190000,1.15,0.17,100000,0.987,0.003,17,89,0,0.001,0,0,v1.4.0,c8a1
2025-08-15T17:10:00,1080.79,339654.76,878.28,-202.52,AAPL,buy,500,49652.7,0.565,0.1,832000,190000,1.15,0.17,100000,0.986,0.003,13,90,0,0.001,0,0,v1.4.0,c8a1
2025-08-15T17:15:00,759.61,340414.37,894.22,134.61,MSFT,sell,280,27764.86,0.58,0.04,832600,190000,1.15,0.17,100000,0.992,0.003,14,91,0,0.001,0,0,v1.4.0,c8a1
2025-08-15T17:20:00,1013.55,341427.92,893.78,-119.77,NVDA,buy,190,18842.76,0.578,0.05,833200,190000,1.15,0.17,100000,0.991,0.003,15,92,0,0.001,0,0,v1.4.0,c8a1
2025-08-15T17:25:00,1089.93,342517.85,860.09,-229.84,JPM,buy,340,33735.96,0.575,0.06,833800,190000,1.15,0.17,100000,0.99,0.003,16,93,0,0.001,0,0,v1.4.0,c8a1
2025-08-15T17:30:00,911.51,343429.36,885.27,-26.24,XOM,sell,160,15880.45,0.573,0.07,834400,190000,1.15,0.17,100000,0.989,0.003,17,86,0,0.001,0,0,v1.4.0,c8a1
2025-08-15T17:35:00,550.79,343980.15,879.04,328.25,AAPL,buy,500,49571.45,0.57,0.08,835000,190000,1.15,0.17,100000,0.988,0.003,13,87,0,0.001,0,0,v1.4.0,c8a1
2025-08-15T17:40:00,801.37,344781.52,886.42,85.05,MSFT,buy,280,27751.84,0.568,0.09,835600,190000,1.15,0.17,100000,0.987,0.003,14,88,0,0.001,0,0,v1.4.0,c8a1
2025-08-15T17:45:00,692.77,345474.29,876.22,183.45,NVDA,sell,190,18820.11,0.565,0.1,836200,190000,1.15,0.17,100000,0.986,0.003,15,89,0,0.001,0,0,v1.4.0,c8a1
2025-08-15T17:50:00,910.38,346384.66,859.35,-51.02,JPM,buy,340,33634.5,0.58,0.04,836800,190000,1.15,0.17,100000,0.992,0.003,16,90,0,0.001,0,0,v1.4.0,c8a1
2025-08-15T17:55:00,984.77,347369.43,883.41,-101.36,XOM,buy,160,15813.28,0.578,0.05,837400,190000,1.15,0.17,100000,0.991,0.003,17,91,0,0.001,0,0,v1.4.0,c8a1
2025-08-15T18:00:00,917.61,348287.04,860.36,-57.25,AAPL,sell,500,49346.4,0.575,0.06,838000,190000,1.15,0.17,100000,0.99,0.003,13,92,0,0.001,0,0,v1.4.0,c8a1
2025-08-15T18:05:00,1566.12,349853.15,870.05,-696.07,MSFT,buy,280,27603.02,0.573,0.07,838600,190000,1.15,0.17,100000,0.989,0.003,14,93,0,0.001,0,0,v1.4.0,c8a1
2025-08-15T18:10:00,675.41,350528.56,881.85,206.44,NVDA,buy,190,18677.4,0.57,0.08,839200,190000,1.15,0.17,100000,0.988,0.003,15,86,0,0.001,0,0,v1.4.0,c8a1
2025-08-15T18:15:00,1152.43,351680.99,864.54,-287.89,JPM,sell,340,33529.2,0.568,0.09,839800,190000,1.15,0.17,100000,0.987,0.003,16,87,0,0.001,0,0,v1.4.0,c8a1
2025-08-15T18:20:00,694.48,352375.47,860.5,166.02,XOM,buy,160,15735.28,0.565,0.1,840400,190000,1.15,0.17,100000,0.986,0.003,17,88,0,0.001,0,0,v1.4.0,c8a1
2025-08-15T18:25:00,1034.34,353409.81,873.0,-161.34,AAPL,buy,500,49197.45,0.58,0.04,841000,190000,1.15,0.17,100000,0.992,0.003,13,89,0,0.001,0,0,v1.4.0,c8a1
2025-08-15T18:30:00,1361.8,354771.61,868.69,-493.11,MSFT,sell,280,27536.94,0.578,0.05,841600,190000,1.15,0.17,100000,0.991,0.003,14,90,0,0.001,0,0,v1.4.0,c8a1
2025-08-15T18:35:00,906.99,355678.6,872.93,-34.06,NVDA,buy,190,18631.55,0.575,0.06,842200,190000,1.15,0.17,100000,0.99,0.003,15,91,0,0.001,0,0,v1.4.0,c8a1
2025-08-15T18:40:00,559.51,356238.11,886.19,326.68,JPM,buy,340,33353.35,0.573,0.07,842800,190000,1.15,0.17,100000,0.989,0.003,16,92,0,0.001,0,0,v1.4.0,c8a1
2025-08-15T18:45:00,1267.24,357505.35,871.9,-395.34,XOM,sell,160,15691.44,0.57,0.08,843400,190000,1.15,0.17,100000,0.988,0.003,17,93,0,0.001,0,0,v1.4.0,c8a1
2025-08-15T18:50:00,917.55,358422.9,874.99,-42.56,AAPL,buy,500,49029.85,0.568,0.09,844000,190000,1.15,0.17,100000,0.987,0.003,13,86,0,0.001,0,0,v1.4.0,c8a1
2025-08-15T18:55:00,1025.13,359448.03,878.41,-146.72,MSFT,buy,280,27406.46,0.565,0.1,844600,190000,1.15,0.17,100000,0.986,0.003,14,87,0,0.001,0,0,v1.4.0,c8a1
2025-08-15T19:00:00,864.79,360312.82,864.51,-0.28,NVDA,sell,190,18604.42,0.58,0.04,845200,190000,1.15,0.17,100000,0.992,0.003,15,88,0,0.001,0,0,v1.4.0,c8a1
2025-08-15T19:05:00,927.16,361239.98,861.76,-65.4,JPM,buy,340,33256.11,0.578,0.05,845800,190000,1.15,0.17,100000,0.991,0.003,16,89,0,0.001,0,0,v1.4.0,c8a1
2025-08-15T19:10:00,665.52,361905.5,869.87,204.35,XOM,buy,160,15627.5,0.575,0.06,846400,190000,1.15,0.17,100000,0.99,0.003,17,90,0,0.001,0,0,v1.4.0,c8a1
2025-08-15T19:15:00,1435.32,363340.83,882.69,-552.63,AAPL,sell,500,48797.95,0.573,0.07,847000,190000,1.15,0.17,100000,0.989,0.003,13,91,0,0.001,0,0,v1.4.0,c8a1
2025-08-15T19:20:00,1103.72,364444.55,874.44,-229.29,MSFT,buy,280,27293.36,0.57,0.08,847600,190000,1.15,0.17,100000,0.988,0.003,14,92,0,0.001,0,0,v1.4.0,c8a1
2025-08-15T19:25:00,404.42,364848.97,872.74,468.32,NVDA,buy,190,18483.92,0.568,0.09,848200,190000,1.15,0.17,100000,0.987,0.003,15,93,0,0.001,0,0,v1.4.0,c8a1
