timestamp,symbol,pnl,equity
2025-08-15T15:30:00,AAPL,2241.87,2241.87
2025-08-15T15:35:00,MSFT,1579.13,3821.0
2025-08-15T15:40:00,NVDA,1708.57,5529.57
2025-08-15T15:45:00,JPM,616.67,6146.24
2025-08-15T15:50:00,XOM,1381.17,7527.41
2025-08-15T15:55:00,AAPL,1957.15,9484.56
2025-08-15T16:00:00,MSFT,2461.07,11945.63
2025-08-15T16:05:00,NVDA,1143.09,13088.72
2025-08-15T16:10:00,JPM,380.34,13469.06
2025-08-15T16:15:00,XOM,614.32,14083.38
2025-08-15T16:20:00,AAPL,2142.48,16225.86
2025-08-15T16:25:00,MSFT,2177.26,18403.12
2025-08-15T16:30:00,NVDA,766.13,19169.25
2025-08-15T16:35:00,JPM,2072.38,21241.63
2025-08-15T16:40:00,XOM,1957.47,23199.1
2025-08-15T16:45:00,AAPL,921.43,24120.53
2025-08-15T16:50:00,MSFT,1016.6,25137.13
2025-08-15T16:55:00,NVDA,370.63,25507.76
2025-08-15T17:00:00,JPM,1332.65,26840.41
2025-08-15T17:05:00,XOM,401.65,27242.06
2025-08-15T17:10:00,AAPL,1483.23,28725.29
2025-08-15T17:15:00,MSFT,-137.25,28588.04
2025-08-15T17:20:00,NVDA,1098.73,29686.77
2025-08-15T17:25:00,JPM,1416.29,31103.06
2025-08-15T17:30:00,XOM,1101.44,32204.5
2025-08-15T17:35:00,AAPL,-130.79,32073.71
2025-08-15T17:40:00,MSFT,621.8,32695.51
2025-08-15T17:45:00,NVDA,316.26,33011.77
2025-08-15T17:50:00,JPM,108.66,33120.43
2025-08-15T17:55:00,XOM,406.93,33527.36
2025-08-15T18:00:00,AAPL,35.18,33562.54
2025-08-15T18:05:00,MSFT,867.49,34430.03
2025-08-15T18:10:00,NVDA,-1091.84,33338.19
2025-08-15T18:15:00,JPM,3121.1,36459.29
2025-08-15T18:20:00,XOM,-1009.83,35449.46
2025-08-15T18:25:00,AAPL,1336.39,36785.85
2025-08-15T18:30:00,MSFT,1044.81,37830.66
2025-08-15T18:35:00,NVDA,-903.63,36927.03
2025-08-15T18:40:00,JPM,783.41,37710.44
2025-08-15T18:45:00,XOM,1086.18,38796.62
2025-08-15T18:50:00,AAPL,829.72,39626.34
2025-08-15T18:55:00,MSFT,-123.03,39503.31
2025-08-15T19:00:00,NVDA,1090.92,40594.23
2025-08-15T19:05:00,JPM,242.91,40837.14
2025-08-15T19:10:00,XOM,-236.62,40600.52
2025-08-15T19:15:00,AAPL,939.5,41540.02
2025-08-15T19:20:00,MSFT,331.68,41871.7
2025-08-15T19:25:00,NVDA,-832.28,41039.42
2025-08-15T19:30:00,JPM,-13.81,41025.61
2025-08-15T19:35:00,XOM,1804.79,42830.4
2025-08-15T19:40:00,AAPL,2537.83,45368.23
2025-08-15T19:45:00,MSFT,-950.08,44418.15
2025-08-15T19:50:00,NVDA,-136.12,44282.03
2025-08-15T19:55:00,JPM,434.11,44716.14
2025-08-15T20:00:00,XOM,581.55,45297.69
2025-08-15T20:05:00,AAPL,1088.28,46385.97
2025-08-15T20:10:00,MSFT,104.81,46490.78
2025-08-15T20:15:00,NVDA,2392.82,48883.6
2025-08-15T20:20:00,JPM,2174.53,51058.13
2025-08-15T20:25:00,XOM,784.03,51842.16
2025-08-15T20:30:00,AAPL,1181.69,53023.85
2025-08-15T20:35:00,MSFT,595.5,53619.35
2025-08-15T20:40:00,NVDA,1786.8,55406.15
2025-08-15T20:45:00,JPM,25.89,55432.04
2025-08-15T20:50:00,XOM,137.85,55569.89
2025-08-15T20:55:00,AAPL,1830.06,57399.95
2025-08-15T21:00:00,MSFT,-435.2,56964.75
2025-08-15T21:05:00,NVDA,1084.18,58048.93
2025-08-15T21:10:00,JPM,-290.04,57758.89
2025-08-15T21:15:00,XOM,-159.47,57599.42
2025-08-15T21:20:00,AAPL,255.17,57854.59
2025-08-15T21:25:00,MSFT,-1270.61,56583.98
2025-08-15T21:30:00,NVDA,2303.75,58887.73
2025-08-15T21:35:00,JPM,-716.44,58171.29
2025-08-15T21:40:00,XOM,-461.01,57710.28
2025-08-15T21:45:00,AAPL,4054.58,61764.86
2025-08-15T21:50:00,MSFT,-2161.11,59603.75
2025-08-15T21:55:00,NVDA,735.81,60339.56
2025-08-15T22:00:00,JPM,-258.48,60081.08
2025-08-15T22:05:00,XOM,375.99,60457.07
2025-08-15T22:10:00,AAPL,2148.81,62605.88
2025-08-15T22:15:00,MSFT,2587.9,65193.78
2025-08-15T22:20:00,NVDA,-600.21,64593.57
2025-08-15T22:25:00,JPM,914.22,65507.79
2025-08-15T22:30:00,XOM,2432.21,67940.0
2025-08-15T22:35:00,AAPL,-317.91,67622.09
2025-08-15T22:40:00,MSFT,-2216.62,65405.47
2025-08-15T22:45:00,NVDA,-4438.35,60967.12
2025-08-15T22:50:00,JPM,-3852.38,57114.74
2025-08-15T22:55:00,XOM,1490.38,58605.12
2025-08-15T23:00:00,AAPL,1148.82,59753.94
2025-08-15T23:05:00,MSFT,-1561.26,58192.68
2025-08-15T23:10:00,NVDA,1221.24,59413.92
2025-08-15T23:15:00,JPM,883.53,60297.45
2025-08-15T23:20:00,XOM,-789.25,59508.2
2025-08-15T23:25:00,AAPL,-1124.95,58383.25
2025-08-15T23:30:00,MSFT,887.16,59270.41
2025-08-15T23:35:00,NVDA,1241.11,60511.52
2025-08-15T23:40:00,JPM,-2075.46,58436.06
2025-08-15T23:45:00,XOM,-3638.68,54797.38
2025-08-15T23:50:00,AAPL,1281.9,56079.28
2025-08-15T23:55:00,MSFT,809.87,56889.15
2025-08-16T00:00:00,NVDA,-668.47,56220.68
2025-08-16T00:05:00,JPM,-1742.32,54478.36
2025-08-16T00:10:00,XOM,-1198.77,53279.59
2025-08-16T00:15:00,AAPL,243.4,53522.99
2025-08-16T00:20:00,MSFT,349.6,53872.59
2025-08-16T00:25:00,NVDA,1995.43,55868.02
2025-08-16T00:30:00,JPM,2158.2,58026.22
2025-08-16T00:35:00,XOM,615.19,58641.41
2025-08-16T00:40:00,AAPL,-6061.81,52579.6
