timestamp,pnl,volatility,volume_ratio,spread_bps,slippage_bps,signal_strength,news_risk
2025-08-15T15:30:00,644.41,0.11143,0.899,2.8142,0.7973,0.718,0.2624
2025-08-15T15:35:00,1192.7,0.10471,0.8234,2.9335,1.3582,0.7135,0.0451
2025-08-15T15:40:00,1108.73,0.12023,0.9832,2.5036,1.1055,0.7055,0.1317
2025-08-15T15:45:00,1137.85,0.12046,0.9329,2.7616,0.9371,0.709,0.1109
2025-08-15T15:50:00,610.88,0.1214,1.0281,2.7892,0.8075,0.6988,0.1664
2025-08-15T15:55:00,1054.43,0.09454,0.842,3.1212,1.1901,0.7129,0.2317
2025-08-15T16:00:00,1137.79,0.11248,0.9195,2.9463,1.1176,0.6563,0.1079
2025-08-15T16:05:00,937.38,0.10047,0.9938,2.4769,0.6787,0.6944,0.2384
2025-08-15T16:10:00,915.08,0.09597,0.8332,2.7689,1.0293,0.7737,0.1283
2025-08-15T16:15:00,764.06,0.105,1.0427,2.3644,0.8291,0.7105,0.1515
2025-08-15T16:20:00,1056.27,0.09799,1.0385,2.4404,0.6781,0.7004,0.1343
2025-08-15T16:25:00,842.96,0.11627,0.9942,2.5729,0.8335,0.6921,0.0418
2025-08-15T16:30:00,1135.32,0.10524,0.9695,2.8116,0.9703,0.7703,0.2571
2025-08-15T16:35:00,1357.69,0.10543,0.9557,2.6835,1.0111,0.7467,0.0268
2025-08-15T16:40:00,1131.84,0.11511,1.1053,2.2784,0.753,0.7013,0.163
2025-08-15T16:45:00,1065.64,0.13823,0.9418,3.1353,1.164,0.6656,0.139
2025-08-15T16:50:00,872.55,0.14429,1.0604,2.7157,0.9918,0.685,0.3145
2025-08-15T16:55:00,899.62,0.10764,0.9928,2.6924,1.0796,0.6634,0.2197
2025-08-15T17:00:00,1197.28,0.11589,0.9551,2.8239,1.0982,0.7251,0.2245
2025-08-15T17:05:00,969.25,0.13486,0.9963,2.9518,0.987,0.7554,0.0834
2025-08-15T17:10:00,1080.79,0.13016,1.018,2.361,0.8006,0.7115,0.2845
2025-08-15T17:15:00,759.61,0.10865,1.038,2.593,0.6438,0.616,0.1916
2025-08-15T17:20:00,1013.55,0.10925,1.1948,2.0524,0.6028,0.671,0.3115
2025-08-15T17:25:00,1089.93,0.15467,1.0123,3.3061,1.038,0.6714,0.1765
2025-08-15T17:30:00,911.51,0.12072,1.0705,2.5302,0.8201,0.6917,0.2612
2025-08-15T17:35:00,550.79,0.12913,0.9997,2.9055,1.1772,0.6901,0.4059
2025-08-15T17:40:00,801.37,0.11917,1.0711,2.4099,0.9236,0.6608,0.1603
2025-08-15T17:45:00,692.77,0.13293,1.0992,2.4198,0.6708,0.6457,0.158
2025-08-15T17:50:00,910.38,0.15567,0.9502,2.8394,1.1587,0.7226,0.2728
2025-08-15T17:55:00,984.77,0.12324,1.0547,2.4339,0.9277,0.8144,0.1214
2025-08-15T18:00:00,917.61,0.15432,1.0519,2.5489,1.0416,0.6555,0.4335
2025-08-15T18:05:00,1566.12,0.14125,1.0232,2.891,0.987,0.7403,0.0407
2025-08-15T18:10:00,675.41,0.12534,1.1849,1.9729,0.4334,0.7052,0.2114
2025-08-15T18:15:00,1152.43,0.14868,1.0416,2.7716,0.9496,0.6957,0.2849
2025-08-15T18:20:00,694.48,0.15412,1.0653,2.8676,0.8377,0.7092,0.1155
2025-08-15T18:25:00,1034.34,0.13727,1.1864,2.412,0.7092,0.7852,0.162
2025-08-15T18:30:00,1361.8,0.14309,1.0308,2.9075,0.9709,0.7062,0.2125
2025-08-15T18:35:00,906.99,0.13737,1.0747,2.6632,0.9617,0.747,0.1254
2025-08-15T18:40:00,559.51,0.11949,1.1241,2.3648,0.8905,0.6124,0.1379
2025-08-15T18:45:00,1267.24,0.13875,1.0259,2.5462,0.8193,0.7048,0.1033
2025-08-15T18:50:00,917.55,0.13459,1.0663,2.5827,1.0458,0.7082,0.1984
2025-08-15T18:55:00,1025.13,0.12997,1.191,2.2506,0.6354,0.652,0.1229
2025-08-15T19:00:00,864.79,0.14872,1.1939,2.2918,0.5734,0.7174,0.1525
2025-08-15T19:05:00,927.16,0.15243,1.1195,2.5404,0.7441,0.6806,0.2111
2025-08-15T19:10:00,665.52,0.14149,1.1996,2.3731,0.7462,0.6813,0.2017
2025-08-15T19:15:00,1435.32,0.1242,1.1406,2.7731,0.9933,0.7872,0.2694
2025-08-15T19:20:00,1103.72,0.13533,1.1165,2.6994,0.7811,0.6477,0.2859
2025-08-15T19:25:00,404.42,0.13763,1.1396,2.4483,0.8468,0.6584,0.3307
2025-08-15T19:30:00,814.64,0.14812,1.1475,2.4966,0.6953,0.7316,0.1015
2025-08-15T19:35:00,774.62,0.13978,1.0764,2.833,0.9551,0.6654,0.1672
2025-08-15T19:40:00,862.31,0.1429,1.1671,2.3419,0.6221,0.6753,0.0508
2025-08-15T19:45:00,940.71,0.15618,1.1099,2.6866,0.6962,0.6805,0.3149
2025-08-15T19:50:00,970.58,0.12891,0.9219,3.1242,0.8291,0.7307,0.2713
2025-08-15T19:55:00,639.05,0.16646,1.1069,2.7065,1.0614,0.7061,0.0638
2025-08-15T20:00:00,1157.65,0.14137,1.0634,2.8062,0.7277,0.7281,0.232
2025-08-15T20:05:00,526.98,0.12886,1.1113,2.3873,0.7384,0.6719,0.2677
2025-08-15T20:10:00,751.59,0.14996,1.1679,2.3123,0.7022,0.5884,0.1137
2025-08-15T20:15:00,982.72,0.14437,1.1155,2.8211,1.1987,0.6844,0.2408
2025-08-15T20:20:00,807.86,0.13991,1.2276,2.1009,0.7122,0.6987,0.3019
2025-08-15T20:25:00,919.57,0.14553,1.0653,2.7894,0.9694,0.6695,0.1432
2025-08-15T20:30:00,1106.86,0.15239,1.1208,2.5867,0.8639,0.7364,0.1057
2025-08-15T20:35:00,720.25,0.14216,1.0358,2.6337,0.933,0.6709,0.3572
2025-08-15T20:40:00,956.85,0.14229,1.1146,2.3964,0.8778,0.6584,0.0827
2025-08-15T20:45:00,1129.99,0.15135,1.0794,2.4008,0.6714,0.6731,0.2124
2025-08-15T20:50:00,688.32,0.14458,1.0157,3.1514,1.0078,0.7329,0.2717
2025-08-15T20:55:00,1045.21,0.13938,1.1384,2.6101,0.9624,0.6943,0.3114
2025-08-15T21:00:00,457.01,0.13482,1.0838,2.6491,0.9894,0.6688,0.3519
2025-08-15T21:05:00,541.46,0.14118,1.1859,2.2124,0.565,0.6145,0.1948
2025-08-15T21:10:00,794.57,0.14553,0.9843,2.9968,0.8726,0.6199,0.1548
2025-08-15T21:15:00,1125.41,0.16086,1.1133,2.677,0.7221,0.6992,0.1914
2025-08-15T21:20:00,-10.66,0.29713,0.6878,4.9942,1.9334,0.1757,0.5933
2025-08-15T21:25:00,-124.15,0.28911,0.7104,4.6353,1.5821,0.3095,0.7799
2025-08-15T21:30:00,-56.51,0.29654,0.5879,4.8625,2.0107,0.2705,0.6612
2025-08-15T21:35:00,-87.18,0.28372,0.7096,4.6646,1.7731,0.1479,0.5822
2025-08-15T21:40:00,153.0,0.31686,0.7671,4.9409,1.638,0.2786,0.5242
2025-08-15T21:45:00,382.86,0.29117,0.6511,4.8237,1.7783,0.2439,0.8192
2025-08-15T21:50:00,-35.07,0.30624,0.7221,4.8565,1.7226,0.1891,0.7428
2025-08-15T21:55:00,186.87,0.28033,0.6129,4.716,1.8357,0.3057,0.7399
2025-08-15T22:00:00,842.56,0.28048,0.5511,4.9657,1.8984,0.3252,0.7025
2025-08-15T22:05:00,505.7,0.26189,0.7037,4.265,1.5716,0.2317,0.668
2025-08-15T22:10:00,-11.14,0.28618,0.8258,4.5089,1.5585,0.258,0.6386
2025-08-15T22:15:00,147.14,0.29277,0.7631,4.565,1.4121,0.305,0.7367
2025-08-15T22:20:00,727.26,0.26942,0.605,4.7366,1.7211,0.2812,0.8439
2025-08-15T22:25:00,14.64,0.27888,0.6135,5.04,1.9031,0.3163,0.7012
2025-08-15T22:30:00,1.04,0.29843,0.7137,4.9634,1.8568,0.1371,0.6886
2025-08-15T22:35:00,241.68,0.26802,0.611,4.4727,1.5531,0.2396,0.7148
2025-08-15T22:40:00,-23.81,0.27982,0.6129,4.7605,2.0207,0.2429,0.7436
2025-08-15T22:45:00,-173.44,0.28637,0.7307,4.3644,1.5894,0.155,0.7699
2025-08-15T22:50:00,-0.11,0.30222,0.4865,5.6544,2.1415,0.2622,0.6831
2025-08-15T22:55:00,382.44,0.29302,0.6266,5.1383,1.9243,0.3096,0.7574
2025-08-15T23:00:00,249.66,0.27648,0.546,5.3028,2.2352,0.249,0.9874
2025-08-15T23:05:00,297.54,0.27069,0.5921,5.0198,1.8148,0.2776,0.9696
2025-08-15T23:10:00,46.83,0.2732,0.6913,4.6792,1.7281,0.2518,0.9644
2025-08-15T23:15:00,471.01,0.29125,0.6258,4.8877,1.9517,0.3618,0.8436
2025-08-15T23:20:00,281.72,0.26787,0.4966,5.0046,1.9416,0.2148,0.891
2025-08-15T23:25:00,72.43,0.28202,0.4846,5.0601,2.0291,0.3182,0.9734
2025-08-15T23:30:00,32.89,0.29927,0.6059,5.1464,1.9283,0.1784,0.8825
2025-08-15T23:35:00,262.14,0.28153,0.5032,4.9127,2.0791,0.2336,0.8804
2025-08-15T23:40:00,393.15,0.2746,0.5771,5.1044,2.0223,0.3406,1.0239
2025-08-15T23:45:00,133.4,0.30869,0.6011,5.3279,2.136,0.3233,0.8799
2025-08-15T23:50:00,-359.05,0.29117,0.5663,5.4135,1.8301,0.1887,0.7281
2025-08-15T23:55:00,-73.15,0.26645,0.5649,4.9894,1.9552,0.2931,0.8013
2025-08-16T00:00:00,128.37,0.28368,0.4737,5.1857,1.9114,0.2448,0.9711
2025-08-16T00:05:00,137.26,0.28651,0.6195,4.633,1.6242,0.2467,0.845
2025-08-16T00:10:00,96.51,0.26399,0.66,4.4299,1.5205,0.2008,0.8345
2025-08-16T00:15:00,306.3,0.26383,0.642,4.5742,1.826,0.2742,1.012
2025-08-16T00:20:00,395.47,0.26882,0.5284,5.0264,1.7099,0.3266,0.8004
2025-08-16T00:25:00,254.09,0.29249,0.5931,4.6243,1.5714,0.2154,0.8394
