timestamp,pnl,equity,expected_pnl,implementation_shortfall
2025-08-15T15:30:00,644.41,319186.64,892.16,247.75
2025-08-15T15:35:00,1192.7,320379.33,897.14,-295.55
2025-08-15T15:40:00,1108.73,321488.07,885.64,-223.1
2025-08-15T15:45:00,1137.85,322625.91,885.47,-252.38
2025-08-15T15:50:00,610.88,323236.79,884.77,273.89
2025-08-15T15:55:00,1054.43,324291.22,904.69,-149.74
2025-08-15T16:00:00,1137.79,325429.01,891.38,-246.41
2025-08-15T16:05:00,937.38,326366.39,900.29,-37.08
2025-08-15T16:10:00,915.08,327281.47,903.63,-11.45
2025-08-15T16:15:00,764.06,328045.53,896.94,132.87
2025-08-15T16:20:00,1056.27,329101.8,902.13,-154.14
2025-08-15T16:25:00,842.96,329944.76,888.57,45.61
2025-08-15T16:30:00,1135.32,331080.08,896.75,-238.57
2025-08-15T16:35:00,1357.69,332437.77,896.61,-461.08
2025-08-15T16:40:00,1131.84,333569.62,889.43,-242.41
2025-08-15T16:45:00,1065.64,334635.26,872.29,-193.35
2025-08-15T16:50:00,872.55,335507.81,867.8,-4.75
2025-08-15T16:55:00,899.62,336407.43,894.97,-4.65
2025-08-15T17:00:00,1197.28,337604.71,888.86,-308.42
2025-08-15T17:05:00,969.25,338573.96,874.79,-94.46
2025-08-15T17:10:00,1080.79,339654.76,878.28,-202.52
2025-08-15T17:15:00,759.61,340414.37,894.22,134.61
2025-08-15T17:20:00,1013.55,341427.92,893.78,-119.77
2025-08-15T17:25:00,1089.93,342517.85,860.09,-229.84
2025-08-15T17:30:00,911.51,343429.36,885.27,-26.24
2025-08-15T17:35:00,550.79,343980.15,879.04,328.25
2025-08-15T17:40:00,801.37,344781.52,886.42,85.05
2025-08-15T17:45:00,692.77,345474.29,876.22,183.45
2025-08-15T17:50:00,910.38,346384.66,859.35,-51.02
2025-08-15T17:55:00,984.77,347369.43,883.41,-101.36
2025-08-15T18:00:00,917.61,348287.04,860.36,-57.25
2025-08-15T18:05:00,1566.12,349853.15,870.05,-696.07
2025-08-15T18:10:00,675.41,350528.56,881.85,206.44
2025-08-15T18:15:00,1152.43,351680.99,864.54,-287.89
2025-08-15T18:20:00,694.48,352375.47,860.5,166.02
2025-08-15T18:25:00,1034.34,353409.81,873.0,-161.34
2025-08-15T18:30:00,1361.8,354771.61,868.69,-493.11
